invention,year,inventor,category,category2,earliest_plausible,earliest_straightforward,actual_location,possible_locations,geographic_flag,geographic_note,confidence
Siemens-Martin open-hearth steel process,1865,Carl Siemens and Pierre Martin,Chemical,,1858–1865,1862–1867,"Sireuil, France (Martin's first commercial furnace); Germany (Siemens's regenerative furnace development)",United Kingdom; France; Germany; Belgium,ALIGNED,"ALIGNED. The process was developed in the most industrially advanced steelmaking nations of the era; all four possible locations had the required iron/steel industry, refractory materials supply, and skilled metallurgical workforce by the late 1850s.",High
Dynamite,1867,Alfred Nobel,Chemical,,1848–1852,1850–1855,"Krümmel, Germany (near Hamburg)",United Kingdom; France; Germany; Sweden; United States,ALIGNED,"ALIGNED. Industrial chemistry and mining were active across Western Europe and the US by mid-century; any country with access to nitroglycerin synthesis and abundant porous mineral materials (kieselguhr, charcoal, sawdust) could have reached this combination. Nobel's German factory location reflects industrial infrastructure but confers no unique advantage over peers.",High
Barbed wire,1867,Lucien Smith,Mechanical,,1800–1820,1850–1860,"Ohio, USA; Illinois, USA",United Kingdom; France; Belgium; Germany; United States (northeast),MISMATCH,"MISMATCH. The actual invention occurred in the American Midwest driven by prairie fencing demand, but the prerequisite wire-drawing and metalworking capacity existed in Western European industrial centers and the northeastern US well before the 1860s; the motivating context of vast unfenced land was geographically specific to the American frontier.",Medium
PVC (polyvinyl chloride),1872,Eugen Baumann,Chemical,,1840–1850,1850–1865,Germany (Tübingen / Alsace region),Germany; France; United Kingdom; Sweden,ALIGNED,"ALIGNED. Germany (Tübingen/Alsace) is in the possible-locations list. The discovery occurred within the German/French scientific sphere, which by 1840 held the leading organic chemistry infrastructure (Liebig school, Paris école de chimie); no geographic mismatch.",Medium
Early stainless steel (chromium steel),1872,Harry Brearley,Chemical,,1825–1835,1835–1845,England,England; France; Sweden; Germany,ALIGNED,"England is ALIGNED — Britain led industrial steel production and had established metalworking workshops with access to chromium compounds and ferrochromium research originating from France (Berthier, 1821). France is equally plausible as the origin of ferrochromium work.",Medium
Rotary cement kiln,1873,Frederick Ransome,Mechanical,,1845–1855,1855–1865,England,England; Belgium; France; Germany; United States,ALIGNED,"England was the center of Portland cement production and heavy iron fabrication in the mid-19th century, making it the most natural origin. ALIGNED.",Medium
Crookes radiometer,1873,William Crookes,Other,,1858–1865,1863–1868,"London, England",London; England; Paris; France; Berlin; Germany; Bonn; Germany,ALIGNED,"ALIGNED. The invention required advanced glassblowing, precision mercury vacuum pumps, and skilled optical instrument makers — all concentrated in mid-19th-century Western European scientific centers, particularly London and the German university towns where Geissler-type work originated.",Medium
Gramme dynamo,1873,Zenobe Gramme,Electrical,,1862–1867,1868–1872,"Paris, France",United Kingdom (London); Germany (Berlin; Hannover); France (Paris); United States (New York; Boston),ALIGNED,"ALIGNED. Paris was a leading center of electrical experimentation and precision instrument manufacturing by the 1860s–1870s, and the actual invention site matches well with the industrial and scientific infrastructure required.",Medium
Metal detector,1874,Gustave Trouve,Electrical,,1836–1840,1845–1850,"Paris, France",United Kingdom (London); France (Paris); Germany (Berlin/Munich); United States (Boston/Philadelphia),ALIGNED,"ALIGNED. Paris was a leading center of precision instrument making and electrical experimentation in the mid-19th century; France had both the artisan coil-winding and galvanometer-manufacturing base needed, and Trouvé's own location was well-suited to this work.",High
Electric tram,1875,Fyodor Pirotsky,Mechanical,Electrical,1862–1865,1870–1878,"Saint Petersburg, Russia",United Kingdom (London; Birmingham); Germany (Berlin; Hamburg); France (Paris); United States (New York; Boston); Belgium (Brussels),MISMATCH,"MISMATCH. Saint Petersburg was a credible but unlikely leading site; the earliest plausible date favors industrially denser centers in Britain, France, Germany, or the northeastern United States, where precision metalworking, electrical instrument makers, and concentrated battery supply chains were strongest.",Medium
Four-stroke internal combustion engine,1876,,,,1862–1868,1870–1875,"Cologne, Germany",United Kingdom; France; German states; Belgium,ALIGNED,"ALIGNED. The actual invention occurred in the German states (Cologne), which had strong engineering workshops, access to coal gas infrastructure, and skilled machinists — all present in comparable form in the UK, France, and Belgium from the early 1860s onward.",Medium
Telephone,1876,Alexander Graham Bell,Electrical,,1837–1845,1845–1855,"Boston, Massachusetts, USA",United Kingdom; Germany; France; USA (eastern seaboard),ALIGNED,"ALIGNED. The actual invention occurred in the USA, which by the 1870s had deep telegraph infrastructure and skilled instrument makers; however, the earliest plausible window centers on Britain and Germany, where electromagnetic instrument-making craft was most advanced in the 1837–1845 period, making either location viable.",Medium
Phonograph,1877,Thomas Edison,Electrical,,1857–1860,1865–1870,"Menlo Park, New Jersey, USA",France (Paris); United Kingdom (London); Germany (Berlin or Leipzig); USA (any major industrial city),MISMATCH,"MISMATCH. The actual invention occurred in the USA, but the earliest plausible date clusters around France, where Scott de Martinville built the phonautograph in 1857 and where the conceptual and physical prerequisites were most concentrated. A motivated team in Paris, London, or Berlin was better positioned than any American city at that date.",Medium
Closed-circuit rebreather,1878,Henry Fleuss,Mechanical,Chemical,1845–1855,1855–1865,"London, England",England (London/Birmingham); France (Paris); Germany (Prussia/Berlin); United States (industrial centers),ALIGNED,"ALIGNED. Industrial Britain in the mid-19th century had the strongest concentration of precision metalworking, chemical manufacturing (including caustic potash production), and practical diving/mining engineering motivation, making London or Birmingham the most natural origin point.",Medium
Pelton Wheel,1878,Lester Allan Pelton,Mechanical,,1830–1845,1845–1860,"Nevada/California, USA",United Kingdom; France; Switzerland; USA (northeastern industrial centers),ALIGNED,"ALIGNED. The USA and Western Europe shared the same industrial and hydraulic engineering knowledge base by the 1830s–1840s; the actual location (mining-era California) reflects opportunistic context, but the invention could plausibly have emerged wherever high-head water sources and industrial demand coincided, particularly in Alpine Europe or the Appalachian/northeastern USA.",Medium
Incandescent light bulb,1879,Thomas Edison,Electrical,,1825–1840,1865–1879,"Menlo Park, New Jersey, USA; Newcastle, England",United Kingdom; France; Germany (Prussia); United States; Netherlands,ALIGNED,"ALIGNED. By the 1820s–1830s, glassblowing centers, battery-making capacity, and barometer/mercury-pump traditions existed across Britain, France, and the German states — the same craft ecosystem that later produced Swan and Edison.",Medium
Carbon arc welding,1881,Nikolay Benardo and Stanislaw Olszewski,Electrical,,1871–1876,1875–1881,"Paris, France",United Kingdom; France; Germany; United States,ALIGNED,"ALIGNED. Industrial nations with access to Gramme-type dynamos and established electrical workshops (UK, France, Germany, USA) all had the infrastructure to support this work by the early 1870s; Paris was a natural hub given Gramme’s presence there.",Medium
Recoil-operated machine gun,1884,Hiram Maxim,Mechanical,,1872–1876,1878–1882,"London, England",United Kingdom; United States; Germany; France; Belgium,ALIGNED,"ALIGNED. The UK and US were the leading centers of precision metalworking and small-arms manufacturing in the 1870s, and London/Birmingham in particular had the skilled artisan workshops and commercial arms industry necessary to develop and iterate on a recoil-operated mechanism.",Medium
Bayer alumina process,1887,Carl Bayer,Chemical,,1830–1850,1865–1880,"Saint Petersburg, Russia",France; United Kingdom; Germany (Prussia/Saxony); Russia; Austria-Hungary; Sweden; Belgium; United States,ALIGNED,"ALIGNED. Major European industrial chemistry centers (Germany, France, UK) had the alkali industry, pressure-vessel craftsmanship, and aluminum-chemistry awareness needed; the actual Russian invention fits within this set.",Medium
Wind-generated electricity,1887,James Blyth,Mechanical,Electrical,1867–1870,1870–1875,"Marykirk, Scotland, United Kingdom",United Kingdom; France; Germany; Belgium; United States,ALIGNED,"ALIGNED. The required dynamo expertise (Gramme in France/Belgium, Siemens in Germany/UK) and lead-acid battery work (Planté in France) clustered in Western Europe, with the UK already a hub of windmill and electrical engineering.",High
Gold cyanidation,1887,MacArthur–Forrest brothers & John S. MacArthur,Chemical,,1845–1855,1860–1875,"Glasgow, Scotland, United Kingdom",United Kingdom; France; Germany (Prussia/Saxony); Austria-Hungary; United States; Sweden; Belgium,ALIGNED,"ALIGNED. The chemical industry capable of producing cyanides at scale and the mining/metallurgical workshops needed to test the process were concentrated in industrial Britain and continental Europe by mid-19th century, matching the actual locus of invention.",High
Ballpoint pen,1888,John Loud,Mechanical,,1500–1600,1700–1800,"Weymouth, Massachusetts, USA",Northern Italy; Southern Germany (Nuremberg/Augsburg); Flanders; France; Ottoman Empire; Ming China; Mughal India,MISMATCH,"MISMATCH. Loud's actual 1888 US invention reflects late-19th-century American patent activity, but the underlying craft (precision ball-bearing metalwork, viscous inks, reservoir pens) was achievable centuries earlier in any major metalworking center. Renaissance Italian/German workshops had ample capability.",Medium
Kinetoscope motion picture viewer,1888,Thomas Edison and WKL Dickson,Other,,1882–1885,1888–1890,"West Orange, New Jersey, USA",USA; United Kingdom; France; Germany,ALIGNED,"ALIGNED. Late-19th-century photographic and electrical innovation was concentrated in the US and Western Europe, where Edison, Marey, Muybridge, Friese-Greene, and the Lumières all operated within the same technological milieu.",High
Experimental proof of radio waves,1888,Heinrich Hertz,Electrical,,Flag,Flag,"Karlsruhe, Germany",Flag,Flag,Flag,Flag
Practical pneumatic tyre,1888,John Dunlop,Mechanical,,1845–1855,1870–1880,"Belfast, Northern Ireland, United Kingdom",United Kingdom; France; United States; Germany,ALIGNED,"ALIGNED. Vulcanized rubber manufacturing, fabric weaving, and precision metalwork were all concentrated in Britain and the northeastern US by mid-century, matching Dunlop's actual location.",Medium
Poudre B Smokeless powder,1884,Paul Vieille,Chemical,,1846–1855,1860–1875,"Paris, France",France; United Kingdom; Prussia/German states; Austria; Switzerland; Sweden; United States,ALIGNED,"ALIGNED. Nitrocellulose chemistry was pursued vigorously across Western Europe immediately after Schönbein's 1845 disclosure (Austria's Lenk, Britain's Hall, France's powder service), and any of these well-resourced military-chemical establishments had the artisan base to iterate on gelatinization and flake geometry.",Medium
Steam turbine,1884,Charles Parsons,Mechanical,,1875–1880,1880–1885,"Newcastle, England",England; Germany; United States; France; Belgium,ALIGNED,"ALIGNED. Britain's combination of advanced precision engineering workshops, high-quality steel manufacturing, and concentrated steam-power expertise made it the natural home for this invention; Newcastle in particular had strong marine engineering infrastructure that Parsons directly exploited.",High
Closed core transformer,1884,"Zipernowsky-Bláthy-Déri, ""ZBD""",Electrical,,1867–1872,1878–1883,"Budapest, Austria-Hungary",United Kingdom (London/Manchester); France (Paris); Germany (Berlin); Austria-Hungary (Vienna/Budapest); United States (New York/Boston); Belgium (Liège),ALIGNED,"ALIGNED. Industrialized Europe and the US Northeast had the iron-working precision, insulated copper wire industry, and electrical instrument shops needed; Budapest in 1884 was within this cluster, and any of the listed cities could have hosted the same workshop a decade earlier.",Medium
Safety bicycle,1885,John Kemp Starley,Mechanical,,1844–1855,1865–1875,"Coventry, England",England; France; Germany; Belgium,ALIGNED,"ALIGNED. Britain and France led velocipede/cycle development through the mid-19th century, with strong precision metalworking and machine-tool industries; Coventry in particular had a watch and ribbon-weaving industry that transitioned into cycle manufacturing.",Medium
Zinc-carbon dry cell,1886,Carl gassner,Chemical,,1868–1872,1872–1878,Germany,France; United Kingdom; Germany; United States,ALIGNED,"ALIGNED. By the late 1860s, electrochemical engineering was active across Western Europe and the United States; the Leclanché cell was French in origin but rapidly disseminated, so Germany is entirely consistent with the improvement trajectory.",High
Hall-Heroult process,1886,Charles Hall and Paul Heroult,Chemical,,1856–1865,1870–1880,"Oberlin, Ohio, USA (Hall); Paris, France (Héroult)",United Kingdom; Germany; France; United States,ALIGNED,"ALIGNED. The actual inventors worked in France and the USA, both of which were among the leading industrial-chemical nations of the era and would have been plausible hosts for an earlier directed program given their electrochemical research communities.",Medium
Petrol automobile,1886,Karl Benz,Mechanical,,1877–1880,1882–1886,"Mannheim, Germany",Germany; United Kingdom; France; Belgium; United States,ALIGNED,"ALIGNED. The actual invention occurred in Germany, which was among the most industrially and technically capable nations in the 1870s–1880s. France, the UK, and Belgium were equally plausible hosts given their comparable industrial infrastructure.",High
Chlorofluorocarbon refrigerant,1890,Frederic Swarts,Chemical,,1850–1870,1880–1890,"Belgium / Ghent, Belgium",Belgium; France; Germany; United Kingdom; Sweden,ALIGNED,"ALIGNED. Mid-19th-century organic halogen chemistry was concentrated in Western European academic labs (Paris, Giessen, Ghent, London), where chlorocarbon chemistry and HF handling were already practiced.",Medium
Pre-cut folding cardboard box,1890,Robert Gair,Mechanical,,1820–1840,1850–1870,"Brooklyn, New York, USA",Britain; France; Germany; USA; Netherlands,ALIGNED,"ALIGNED. Industrializing regions with established paper mills, printing trades, and iron-frame press manufacture all qualify; Gair's Brooklyn location fits the broader pattern of papermaking and printing centers.",High
Zipper,1891,Whitcomb Judson,Mechanical,,1750–1800,1820–1850,"United States / Chicago, USA",England; France; Switzerland; Germany (Saxony/Nuremberg); Netherlands; Italy (northern),MISMATCH,"MISMATCH. Earliest plausible centers are European clock/watch and small-metal-goods workshops (Geneva, Sheffield, Birmingham, Nuremberg); the actual 1891 US invention reflects late industrial-era tinkering rather than a binding tech constraint.",Medium
Cinematograph,1892,Leon Bouly,Other,,1880–1885,1888–1892,"France / Lyon, France",France; United Kingdom; United States; Germany,ALIGNED,"ALIGNED. Late 19th-century photographic and precision-mechanical innovation was concentrated in France, Britain, Germany, and the US, all of which had the optical, chemical, and mechanical infrastructure required.",Medium
Electric oven,1892,Thomas Ahearn,Electrical,,1871–1878,1880–1888,"Ottawa, Canada","France (Paris); United Kingdom (London); United States (New York, Boston); Germany (Berlin, Munich)",MISMATCH,"MISMATCH. The binding constraint is access to practical dynamo-supplied kilowatt-scale current; by 1871–1878 this capacity existed primarily in France (Gramme) and the UK/US (early industrial generators), not in Ottawa, which lacked central-station power infrastructure until the late 1880s.",Medium
"Compression ""diesel"" engine",1893,Rudolph Diesel,Mechanical,,1870–1880,1885–1893,"Germany (Augsburg, Germany)",Germany; United Kingdom; France; Belgium; United States,ALIGNED,"ALIGNED. Germany, Britain, France, and the U.S. all had the steel metallurgy, precision machining, and internal combustion engine experimentation needed; the actual invention in Germany fits squarely within this industrial heartland.",Medium
Rubber surgical gloves,1893,William Halstead,Medical,,1867–1875,1880–1893,"USA / Baltimore, USA (Johns Hopkins)","UK (London, Glasgow, Edinburgh); Germany (Berlin); France (Paris); USA (Boston, New York, Baltimore); Austria (Vienna)",ALIGNED,ALIGNED. Centers of antiseptic surgical practice and rubber manufacturing co-located across Western Europe and the US Northeast in the 1860s–1880s; the actual US invention fits this distribution.,Medium
Wireless telegraphy,1895,Guglielmo Marconi,Electronic,,1890–1893,1893–1895,"Italy / Bologna, Italy",United Kingdom; Germany; France; Italy; United States,ALIGNED,"ALIGNED. By 1890 the relevant electrical instrument-making expertise (induction coils, galvanometers, relays) and physics literature were widely distributed across Western Europe and the northeastern US; Bologna/London/Berlin/Paris are all plausible.",High
X-ray,1895,Wilhelm Röntgen,Other,,Flag,Flag,"Würzburg, Germany",Flag,Flag,Flag,Flag
Cloth surgical mask,1897,Jan Mikulicz-Radecki,Medical,,1867–1880,1880–1895,Poland/France (Breslau and Paris),Germany; France; United Kingdom; Austria-Hungary; United States,ALIGNED,"ALIGNED. Continental European surgical centers (especially German-speaking and French) were the leading sites for antiseptic/aseptic surgical innovation in the late 19th century, matching the actual invention locations.",High
Polyethylene,1898,Hans von Pechmann,Chemical,,Flag,Flag,"Germany / Munich, Germany",Flag,Flag,Flag,Flag
Nickel cadmium rechargeable battery,1899,Waldemar Jungner,Electronic,,1860–1870,1875–1885,"Sweden / Stockholm, Sweden",United Kingdom; France; Germany; Sweden; United States; Belgium; Austria-Hungary,ALIGNED,"ALIGNED. Industrial-scale electrochemistry, refined cadmium, and KOH production were available across Western/Central Europe and the northeastern US by the 1860s, so Sweden is one of many plausible loci.",Medium
Zeppelin LZ-1 Rigid airship,1900,Ferdinand von Zeppelin,Mechanical,,1888–1895,1895–1900,"Friedrichshafen, Germany",Germany; France; United Kingdom; United States,ALIGNED,"ALIGNED. Industrialized nations with aluminum smelting, precision machine shops, and internal combustion engine manufacturing were concentrated in Western Europe and the US; Germany held a particular lead in engines and metalworking.",Medium
Powered suction vacuum cleaner,1901,Hubert Cecil Booth,Mechanical,,1830–1850,1860–1880,"United Kingdom / London, UK",United Kingdom; France; United States; Prussia/Germany; Belgium,ALIGNED,"ALIGNED. Industrial Britain and France had the centrifugal fans, fine textile manufacturing, and steam-power infrastructure required; the actual invention location fits squarely within this set.",Medium
First self-sustaining gas turbine,1903,Ægidius Elling,Mechanical,,1888–1895,1895–1903,Norway,United Kingdom; Germany; France; United States; Sweden,MISMATCH,"MISMATCH. Norway was an unusual location for advanced precision engineering at this period; the UK, Germany, and France had far denser concentrations of high-precision machine shops, metallurgical expertise, and steam-turbine manufacturing capability that would have been required. Elling's success in Norway depended on personal genius and access to imported materials and knowledge rather than a deep local industrial ecosystem.",Medium
Laminated safety glass,1903,Édouard Bénédictus,Mechanical,,1870–1880,1875–1885,"Paris, France",United Kingdom (London/Birmingham); France (Paris); Germany (Berlin/Cologne); United States (New York/Philadelphia),ALIGNED,"ALIGNED. France and the broader Western European industrial belt had mature plate glass industries, access to cellulose nitrate chemistry, and the skilled artisan-chemist workshops required. Paris is entirely consistent with the earliest plausible window.",Medium
"First sustained, controlled powered flight",1903,Orville and Wilbur Wright,Mechanical,,1890–1900,1897–1903,"Kitty Hawk, North Carolina, USA",United Kingdom; France; Germany; United States,ALIGNED,"ALIGNED. The USA was a plausible location given its strong mechanical workshop culture, access to lightweight engine technology, and the active aeronautical community by the late 1890s; France and Germany were equally or more likely given their stronger engineering institutions and earlier glider traditions.",Medium
Fleming valve,1904,John Ambrose Fleming,Electronic,,1884–1888,1890–1897,"London, England",United Kingdom; United States; Germany,ALIGNED,"ALIGNED. The UK and US led in both incandescent lamp development and early electrical/telegraphic engineering; London, Menlo Park (NJ), and Berlin had the industrial-workshop infrastructure and vacuum-glass expertise required.",Medium
First free helicopter flight,1907,Paul Cornu,Mechanical,,1900–1905,1905–1910,"Lisieux, France",France; Germany; United Kingdom; United States,ALIGNED,"ALIGNED. France in the early 1900s had leading internal combustion engine manufacturers (Antoinette, Renault, Darracq) and a vibrant aviation engineering community, making it the most plausible location for this work at the earliest plausible date.",Medium
Bakelite,1907,Leo Baekeland,Chemical,,1902–1907,1904–1907,"Yonkers, New York, USA",USA; Germany; United Kingdom; France; Belgium,ALIGNED,"ALIGNED. The actual invention occurred in the USA, and the USA was one of several plausible locations given its strong industrial chemistry infrastructure and access to coal-tar byproducts; Germany and the UK were equally or more likely candidates given their leading dye and synthetic chemistry industries.",Medium
Ramjet concept,1907,Rene Lorin,Mechanical,,1935–1942,1939–1945,France,Germany; United Kingdom; United States; France; USSR,ALIGNED,"ALIGNED. By the mid-1930s, all major industrial powers had the aeronautical, materials, and fuel infrastructure to pursue a working ramjet; France is one of several plausible locations and retains capability through the actual first flight (Leduc, 1949).",Medium
Cellophane,1908,Jacques Brandenberger,Chemical,,1893–1896,1897–1900,France,United Kingdom; France; Germany; Switzerland; Belgium,ALIGNED,"ALIGNED. The viscose process originated in the UK (Cross, Bevan, Beadle, 1892), and industrial textile chemistry was concentrated in Britain, France, Germany, and Switzerland — all plausible sites for immediate follow-on film-casting work.",High
Haber-Bosch process,1909,Fritz Haber,Chemical,,1895–1905,1900–1910,Germany (Karlsruhe / Oppau),Germany; United Kingdom; France; United States,ALIGNED,"ALIGNED. Germany's strong industrial chemistry infrastructure, world-leading chemical engineering firms (BASF), and university-industry linkages made it the natural locus; Britain and France had comparable high-pressure engineering capability but weaker integration of academic thermodynamics with industrial scale-up.",Medium
First static-image television transmission,1909,Georges Rignoux & A. Fournier,Electronic,,1886–1890,1895–1905,"Paris, France",United Kingdom; Germany; France; United States,ALIGNED,"ALIGNED. France was a leading center of electrical and optical experimentation in the late 19th century, and Paris had the artisan workshops and telegraph infrastructure required; no geographic mismatch with the actual invention site.",Medium
Cloud chamber,1911,CTR Wilson,Other,,1897–1902,1903–1908,"Cambridge, England",England; Germany; France; United States,ALIGNED,"ALIGNED. The earliest plausible window centers on Cambridge and similar university workshop environments in Western Europe and the United States, all of which had access to Wilson's 1897 published results, X-ray sources, and skilled glassblowers by 1897–1900.",Medium
Electric slot cars,1912,Lionel Corporation,Electrical,,1887–1892,1893–1898,"New York, USA",United Kingdom; Germany; USA,ALIGNED,"ALIGNED. The USA, UK, and Germany all had mature electrical manufacturing industries and toy/model engineering traditions by the late 1880s; the actual inventor (Lionel, New York) fits squarely within this cluster.",High
First articulated electric trams,1912,Boston Elevated Railway,Electrical,,1893–1897,1897–1902,"Boston, Massachusetts, USA","USA (Boston, Philadelphia, Chicago); United Kingdom (London, Glasgow); Germany (Berlin, Hamburg); Belgium (Brussels)",ALIGNED,"ALIGNED. The USA had dense urban electric tram networks and strong car-building industry by the mid-1890s; Boston specifically was an early adopter of electric traction and had the operational incentive of high-capacity urban corridors. Europe (Germany, Belgium) had comparable engineering capacity and dense city networks.",Medium
Bergius high-pressure coal hydrogenation process,1913,Friedrich Bergius,Chemical,,1910–1915,1913–1918,Germany (Hannover/Rheinau),Germany; United Kingdom; France; United States,ALIGNED,"ALIGNED. Germany in this era led in industrial chemistry, high-pressure engineering, and coal chemistry, with the necessary academic-industrial infrastructure concentrated in the same region where Bergius worked.",High
Kaplan axial-flow adjustable blade turbine,1913,Viktor Kaplan,Mechanical,,1885–1895,1895–1905,Austria (Brünn/Brno),United Kingdom; Germany; France; Austria-Hungary; United States,ALIGNED,"ALIGNED. Austria-Hungary had strong mechanical engineering capacity by the 1880s–1890s, with Brno specifically hosting significant industrial infrastructure; the invention fits squarely within the Central European hydraulic engineering tradition that produced the Francis turbine refinements of the same era.",Medium
Stainless Steel,1915,Harry Brearley,Chemical,,1895–1905,1905–1912,"Sheffield, England",England (Sheffield); France (Paris); Germany (Essen/Krupp works); United States (Pittsburgh),ALIGNED,"ALIGNED. Sheffield was the world center of specialty steel production and had the metallurgical expertise, industrial infrastructure, and motivated commercial demand to have pursued this work earliest; the actual invention there is fully consistent with the earliest plausible location.",Medium
First practical battle tanks,1915,Walter Wilson & William Tritton; Eugène Brillié,Mechanical,,1885–1895,1900–1910,"Lincoln, England / Bordeaux, France",United Kingdom; France; Germany; United States,ALIGNED,"ALIGNED. The actual invention occurred in the UK and France, both of which had the industrial capacity, steel manufacturing, and military-industrial investment necessary at the earliest plausible date. No mismatch.",Medium
Czocharlski crystal pulling,1916,Jan Czochralski,Chemical,,1895–1910,1905–1915,"Frankfurt, Germany",Germany; United Kingdom; France; Austria-Hungary,ALIGNED,"ALIGNED. Germany was a world leader in industrial chemistry and metallurgy in the late 19th century, and the actual invention occurred there; a motivated team with comparable resources would most plausibly have been located in Germany, the UK, France, or Austria-Hungary.",Medium
Crystal oscillator,1917,Alexander Nicholson,Other,,1909–1912,1912–1915,"New York, USA","USA (New York, Pittsburgh); UK (London); Germany (Berlin, Munich); France (Paris)",ALIGNED,"ALIGNED. The actual invention occurred in the USA, which by 1909–1912 had mature electrical engineering infrastructure, leading vacuum tube development, and strong industrial research labs (AT&T, GE, Westinghouse) capable of supporting this work.",Medium
Fischer-Tropsch coal-to-liquid process,1925,Franz Fischer & Hans Tropsch,Chemical,,1900–1910,1910–1920,"Germany (Kaiser Wilhelm Institute, Mülheim)",Germany; United Kingdom; France; Belgium; United States,ALIGNED,"ALIGNED. The actual invention occurred in Germany, which was also among the most likely locations at the earliest plausible date given its dominant position in industrial chemistry, coal chemistry, and catalysis research from the late 19th century onward.",Medium
Yagi-Uda directional antenna,1926,Shintarō Uda with Hidetsugu Yagi,Electrical,,1905–1910,1910–1915,"Sendai, Japan (Tohoku University)",United Kingdom; Germany; France; United States; Italy,MISMATCH,"MISMATCH. Japan was a plausible but unlikely leader at the earliest plausible date; the dominant RF experimentation centers in 1905–1915 were in Europe and the United States, where Marconi, Braun, and their contemporaries had dense workshop infrastructure and institutional backing.",Medium
Liquid fueled rocket launch,1926,Robert Goddard,Mechanical,Chemical,1908–1912,1915–1920,"Auburn, Massachusetts, USA",USA; Germany; UK; France,ALIGNED,"ALIGNED. The USA had strong industrial capacity for precision machining, cryogenic gas supply (industrial LOX became available ~1895–1900), and a culture of empirical engineering; Goddard's actual location matches the most plausible geography.",Medium
Three-point hitch,1926,Harry Ferguson,Mechanical,,1895–1905,1910–1920,Ireland/UK,United Kingdom; United States; Germany; France,ALIGNED,"ALIGNED. The UK had the engineering base, agricultural machinery industry, and hydraulic engineering tradition needed to develop this system; Ireland/UK is entirely consistent with the earliest plausible locations.",Medium
First public live-image television demo,1926,John Logie baird,Mechanical,,1910–1912,1912–1918,"London, England",United Kingdom; Germany; United States; France,ALIGNED,"ALIGNED. The actual invention occurred in London, which was among the leading centers for electrical engineering and vacuum tube development in the early twentieth century; the UK, Germany, France, and the US all had the requisite industrial and knowledge infrastructure by the earliest plausible window.",Medium
Quartz Clock,1927,Warren Marrison & J. W. Horton,Other,,1922–1925,1925–1928,"New York, USA","USA (Bell Labs, GE, Western Electric); UK (NPL, Marconi); Germany (PTR, Telefunken)",ALIGNED,"ALIGNED. The invention required advanced vacuum tube electronics, precision machining, and institutional radio/telecom research infrastructure — all concentrated in the same USA/UK/Germany triangle that actually produced it. No geographic mismatch.",High
Discovery of penicillin's antibiotic action,1928,Alexander Fleming,Medical,,Flag,Flag,"London, England",Flag,Flag,Flag,Flag
Turbojet,1928,Frank Whittle,Mechanical,,1908–1915,1918–1925,England,United Kingdom; Germany; France; United States,ALIGNED,"ALIGNED. Britain had the leading steam turbine industry (Parsons), strong precision engineering workshops, and military aviation incentive post-WWI; the actual invention occurred there as expected.",Medium
First practical all-electric television,1928,Philo Farnsworth,Electronic,,1910–1915,1920–1925,"San Francisco, California, USA",United Kingdom; Germany; USA,ALIGNED,"ALIGNED. The USA had the industrial infrastructure, vacuum tube expertise, and entrepreneurial culture to support this work by the 1920s; Germany and UK were equally plausible given their leadership in cathode ray tube and vacuum tube development.",Medium
Recirculating ball screw,1929,Rudolph G. Boehm,Mechanical,,1895–1905,1910–1920,USA,USA; UK; Germany; France,ALIGNED,"ALIGNED. The USA, UK, and Germany all had mature precision machine tool industries and ball bearing manufacturing by the mid-1890s; the actual invention in the USA is consistent with this distribution.",Medium
Phase-contrast microscopy,1930,Frits Zernike,Other,,1880–1890,1895–1905,Netherlands (Groningen),Germany; United Kingdom; France; Austria,MISMATCH,"MISMATCH. The earliest plausible window aligns with German and British optical industries (Zeiss, Abbe's Jena), not the Netherlands; Zernike's actual location was peripheral to the major optical manufacturing centers.",Medium
Electron microscope,1931,"Ernst Ruska, with Max Knoll",Electronic,,1927–1930,1930–1935,"Berlin, Germany",Germany; United Kingdom; United States; France,ALIGNED,ALIGNED. Berlin was the global center of electron physics and vacuum tube engineering in the late 1920s; the actual invention occurred exactly where conditions were most favorable.,High
FM Radio,1933,Edwin Armstrong,Electrical,,1928–1932,1931–1934,"New York, USA",USA; Germany; UK,ALIGNED,ALIGNED. The USA led in radio engineering and commercial radio infrastructure in the late 1920s–early 1930s.,Medium
Lightweight folding wheelchair,1933,Harry C. Jennings Sr. & Herbert Everest,Mechanical,,1893–1898,1900–1910,USA,USA; UK; Germany; France,ALIGNED,ALIGNED. All four nations had mature bicycle industries and thin-wall steel tubing by the mid-1890s.,High
Nylon synthetic fiber,1935,Wallace Carothers,Chemical,,1924–1928,1928–1933,"Wilmington, Delaware, USA (DuPont)",Germany; United Kingdom; United States; Switzerland,ALIGNED,ALIGNED. The actual invention in the USA at a well-resourced industrial lab is consistent with the earliest plausible window that also favors Germany and the UK.,Medium
Programmable computer,1938,Konrad Zuse,Mechanical,,1880–1890,1900–1910,"Berlin, Germany",United Kingdom; United States; Germany,ALIGNED,"ALIGNED. Germany (Berlin) is among the plausible locations alongside the UK and USA, which had stronger concentrations of relay-switching engineering and mechanical computing heritage (Babbage legacy); since the actual invention occurred in Germany and Germany is listed as a plausible site, the entry is ALIGNED.",Medium
Nuclear fission,1938,"Otto Hahn, Fritz Strassmann; Lise Meitner & Otto Frisch",Chemical,,Flag,Flag,"Berlin, Germany / Stockholm, Sweden",Flag,Flag,Flag,Flag
